PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,57126717.663186714,58269252.01645032,118.20183793224653,492964.0099999997
2022,56493805.061987795,58776154.78649198,117.42337870316781,500549.0000000003
2023,40803418.27267821,43300913.89831221,85.19212977149917,508273.63999999955
2024,40376925.716925554,43705282.917931184,84.7477409660641,515710.29999999976
2025,40018494.288041025,44183651.31639485,84.45326699118822,523172.7900000001
2026,39583518.24545833,44577470.67028594,83.9448409866559,531032.8800000001
2027,39216156.39879337,45047036.79558645,83.49192151047853,539537.6699999998
2028,38854262.85052035,45523961.560739905,83.19258476611333,547211.7699999999
2029,38262180.759298034,45726847.88472056,82.29866103774494,555620.7999999986
2030,38401580.13636539,46811311.90521082,83.16343029500199,562883.3700000001
