NEW_GEN_WITH_MIN_BUILD_YEARS_1,NEW_GEN_WITH_MIN_BUILD_YEARS_2,BuildMinGenCap
Battery_Utility_1h,2021,0.0
Battery_Utility_1h,2022,0.0
Battery_Utility_1h,2023,0.0
Battery_Utility_1h,2024,0.0
Battery_Utility_1h,2025,0.0
Battery_Utility_1h,2026,1.0
Battery_Utility_1h,2027,0.0
Battery_Utility_1h,2028,0.0
Battery_Utility_1h,2029,0.0
Battery_Utility_1h,2030,0.0
Battery_Utility_2h,2021,0.0
Battery_Utility_2h,2022,0.0
Battery_Utility_2h,2023,0.0
Battery_Utility_2h,2024,0.0
Battery_Utility_2h,2025,0.0
Battery_Utility_2h,2026,0.0
Battery_Utility_2h,2027,0.0
Battery_Utility_2h,2028,0.0
Battery_Utility_2h,2029,0.0
Battery_Utility_2h,2030,0.0
Battery_Utility_4h,2021,0.0
Battery_Utility_4h,2022,0.0
Battery_Utility_4h,2023,0.0
Battery_Utility_4h,2024,0.0
Battery_Utility_4h,2025,0.0
Battery_Utility_4h,2026,0.0
Battery_Utility_4h,2027,0.0
Battery_Utility_4h,2028,0.0
Battery_Utility_4h,2029,0.0
Battery_Utility_4h,2030,0.0
NG_GT,2021,0.0
NG_GT,2022,0.0
NG_GT,2023,1.0
NG_GT,2024,0.0
NG_GT,2025,0.0
NG_GT,2026,0.0
NG_GT,2027,0.0
NG_GT,2028,0.0
NG_GT,2029,0.0
NG_GT,2030,1.0
Seacable,2021,0.0
Seacable,2022,0.0
Seacable,2023,0.0
Seacable,2024,0.0
Seacable,2025,0.0
Seacable,2026,0.0
Seacable,2027,0.0
Seacable,2028,0.0
Seacable,2029,0.0
Seacable,2030,0.0
Utility_PV,2021,1.0
Utility_PV,2022,0.0
Utility_PV,2023,0.0
Utility_PV,2024,0.0
Utility_PV,2025,0.0
Utility_PV,2026,0.0
Utility_PV,2027,0.0
Utility_PV,2028,1.0
Utility_PV,2029,1.0
Utility_PV,2030,1.0
Wind_OnShore,2021,1.0
Wind_OnShore,2022,1.0
Wind_OnShore,2023,0.0
Wind_OnShore,2024,1.0
Wind_OnShore,2025,1.0
Wind_OnShore,2026,1.0
Wind_OnShore,2027,0.0
Wind_OnShore,2028,0.0
Wind_OnShore,2029,1.0
Wind_OnShore,2030,1.0
