PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,38220768.52086835,38985183.891285636
2021,StorageEnergyInstallCosts,annual,96735.30747075636,98670.01362017129
2022,TotalGenFixedCosts,annual,38325324.90482587,39873668.03098076
2022,StorageEnergyInstallCosts,annual,94838.53673603565,98670.01362017129
2023,TotalGenFixedCosts,annual,23525067.543414988,24964989.87761228
2023,StorageEnergyInstallCosts,annual,92978.95758434867,98670.01362017129
2024,TotalGenFixedCosts,annual,24234606.343120873,26232317.29073397
2024,StorageEnergyInstallCosts,annual,91155.8407689693,98670.01362017129
2025,TotalGenFixedCosts,annual,24505648.961410407,27056216.588251192
2025,StorageEnergyInstallCosts,annual,89368.47134212677,98670.01362017129
2026,TotalGenFixedCosts,annual,25590746.391369198,28819336.866875753
2026,StorageEnergyInstallCosts,annual,87616.14837463407,98670.01362017129
2027,TotalGenFixedCosts,annual,25088967.050361957,28819336.866875753
2027,StorageEnergyInstallCosts,annual,85898.1846810138,98670.01362017129
2028,TotalGenFixedCosts,annual,25459747.96366872,29830152.539585724
2028,StorageEnergyInstallCosts,annual,84213.90655001353,98670.01362017129
2029,TotalGenFixedCosts,annual,25408562.356709894,30365584.051880524
2029,StorageEnergyInstallCosts,annual,82562.65348040541,98670.01362017129
2030,TotalGenFixedCosts,annual,25563081.71110357,31161253.96370522
2030,StorageEnergyInstallCosts,annual,80943.77792196609,98670.01362017129
2021,GenVariableOMCostsInTP,timepoint,0.0,0.0
2021,FuelCostsPerTP,timepoint,15784205.475714833,16099889.585229095
2022,GenVariableOMCostsInTP,timepoint,0.0,0.0
2022,FuelCostsPerTP,timepoint,15010766.579930441,15617201.5497596
2023,GenVariableOMCostsInTP,timepoint,332730.95393174654,353096.75016000017
2023,FuelCostsPerTP,timepoint,14738292.971175542,15640394.407355223
2024,GenVariableOMCostsInTP,timepoint,309709.7525539158,335239.7964299999
2024,FuelCostsPerTP,timepoint,13818869.325595733,14957988.5728623
2025,GenVariableOMCostsInTP,timepoint,299575.06998705206,330755.08388999995
2025,FuelCostsPerTP,timepoint,13413295.228423038,14809361.769356005
2026,GenVariableOMCostsInTP,timepoint,264551.22786348173,297927.6507899997
2026,FuelCostsPerTP,timepoint,12206841.76184115,13746886.45008783
2027,GenVariableOMCostsInTP,timepoint,275670.1090199236,316658.30323050014
2027,FuelCostsPerTP,timepoint,12605788.08909209,14480088.10736406
2028,GenVariableOMCostsInTP,timepoint,264695.5824086906,310133.062239
2028,FuelCostsPerTP,timepoint,12095587.526180806,14171908.593783699
2029,GenVariableOMCostsInTP,timepoint,259670.54223485448,310330.3353149999
2029,FuelCostsPerTP,timepoint,11812733.247799084,14117309.719562352
2030,GenVariableOMCostsInTP,timepoint,265662.9828669711,323841.69371399994
2030,FuelCostsPerTP,timepoint,12074539.229436023,14718795.944690278
